conference_id,name,alias
49602742-5d66-412e-8a58-ab1e613d593c,American,AAC
359cd6eb-de34-4ae2-90a2-6e80e4d4ff62,Conference USA,CONFERENCE-USA
82fb0ec0-4f49-4ab9-9bcc-fe782b015210,Mountain West,MOUNTAIN-WEST
c7a491c8-d0f2-4ca1-9403-f82db4452dd1,Southeastern,SEC
7a56b889-96ba-4ec2-8fe0-0b2091ff05ac,Coastal Athletic Association,CAA
8fd1a800-657d-4391-ab1d-6abdd05645cc,Big Sky,BIG-SKY
50a92c00-888a-40c3-b223-9624dec9f2bd,Sooner Athletic Conference,SOONER
2d58e0bd-e249-48f5-b531-c22f5cf6e264,Gulf South Conference,GSC
29a74ca3-7c09-4d54-8d0f-62c15ee03cdc,Minnesota Intercollegiate Athletic Conference,MIAC
cddff7c9-65e1-4fe0-b052-87fd4213fbfe,Big Ten,BIG-TEN
b42fbccc-5182-40bf-8d99-213a80dcf327,Pennsylvania State Athletic Conference,PSAC
663b118f-d664-4fd2-adea-7dbd1f997e12,Mountain East Conference,MEC
252b1211-a36c-4184-b229-d8d121610024,USA South Athletic Conference,USA-SOUTH
c320231c-eec0-4b9c-b09e-016280763cf2,Pioneer,PIONEER
442a3894-7884-4de6-b564-f9c44ddb4a04,Mid-America Intercollegiate Athletics Association,MIAA
cd553725-acbe-496a-bae9-ed8ab6456a50,Great Lakes Valley Conference,GLVC
f1095195-822c-4ecd-b96a-565a4da3b796,Big 12,BIG-12
151998c5-80e4-466f-aafe-0c25eb62de75,South Atlantic Conference,SAC
327bb2ce-9582-4e8e-adcb-d297ed656d32,Central Intercollegiate Athletic Association,CIAA
6973b296-7d94-4d07-9f83-c9576b315f91,Mid Eastern Athletic,MEAC
9ff5f231-e383-11ed-951e-a5f529384569,United Athletic,UAC
a15aa3a4-6fc3-4a25-be98-d0059836a060,Southern,SOUTHERN
f9da8a38-d704-4a62-83fd-22ad5758446b,Ivy,IVY
310a49d2-421b-4f00-9b6c-2e5cf312c9f6,Frontier Conference,FRONTIER
