id,name,market,alias
30abfee7-57a7-4984-9a1c-55cb28970da3,49ers,Charlotte,CHAR
f6f4a672-6368-45aa-98d0-3756da844114,Aggies,New Mexico State,NMSU
e7268e7f-a453-4f46-b005-689d1d4966d4,Aggies,Utah State,USU
d5199a36-7f26-4c3b-be48-9599039e232c,Aggies,Texas A&M,TXAM
b38454be-5f7b-4da0-915e-f5ec909e6fa0,Aggies,North Carolina A&T,NCAT
15828630-7d0d-4ac5-8707-915879a90943,Aggies,UC Davis,UCD
6d9085d7-1a8a-4714-b8ee-d8a1b00d6a92,Aggies,Oklahoma Panhandle State,OPSU
200364e8-417b-4df6-91d5-9535c0616f1c,Argonauts,West Florida,UWFL
7c1ea83e-f07b-46dc-9bb1-7130de8c502c,Auggies,Augsburg,AUGS
54585fd0-90d0-46bd-a018-d033fb2ee767,Aztecs,San Diego State,SDSU
7dbca160-b9d8-4da4-8176-2445cb4b34d2,Badgers,Wisconsin,WIS
c433c333-2eb6-4592-8516-e325b736dfee,Bald Eagles,Lock Haven,LHU
91dcaf5b-8abf-46cc-a447-fc812f69ccb9,Battlers,Alderson-Broaddus,ABU
2d7e35bc-a88b-41e3-8c1f-be8ef9520086,Battling Bishops,NC Wesleyan,NCW
59d0852a-b283-4829-af63-60553fbafdeb,Beacons,Valparaiso,VALP
eba016ef-816a-41f0-aaea-15a143952bb3,Bearcats,Northwest Missouri State,NMSU
3c2c21d3-4a85-4460-bed7-2b49590e66a9,Bearcats,McKendree,MCKN
fa355cca-bfb2-4282-9656-3e1869d26eef,Bearcats,Southwest Baptist,SWBU
42a9a18b-b59a-408b-8cab-4e49cbe2c23a,Bearcats,Cincinnati,CIN
844c8d83-ee90-46a1-a943-2b5db4c5cb21,Bearkats,Sam Houston,SHSU
bcacfbac-3ab1-4d80-b852-943fb58d4796,Bears,Lenoir-Rhyne,LRU
61ca5389-4b73-4a82-a4e0-98265a3a72a9,Bears,Shaw,SHAW
da45fbb4-54a4-4b21-8682-c26c5d85061c,Bears,Missouri State,MOSU
8b8225f5-eb09-48ea-9120-cef081918b7a,Bears,Baylor,BAY
8a7fc6b5-bd34-4b66-8e08-8e6562b9248d,Bears,Morgan State,MORG
a3d9d315-cbf9-44bd-bfcc-b91e756ac5f2,Bears,Northern Colorado,UNCO
b1a9ddff-373c-43f1-a562-8c7a235d54ab,Bears,Central Arkansas,CARK
cc1b918c-1523-4412-8b1e-2219d88f11b8,Bears,Mercer,MER
b0708df4-2923-4756-8504-6a3bba7d70a6,Bears,Brown,BRWN
2d0bdc23-f380-4903-97c2-06c7cb6c30f1,Bears,Rocky Mountain College,RMC
5fb09809-05fa-42cf-8636-311b8b4c2c04,Bears,Pikeville,UOP
bdd8a4ad-a454-434b-9a01-99c897743a44,Beavers,Minot State,MINOT
dbc779da-a1bc-4743-bb7a-0922cfa333be,Beavers,Bemidji State,BSU
6fddb136-b83b-4f5f-8574-54e5581aeaae,Beavers,Oregon State,ORST
0c89b920-116b-11ef-b1a7-c9f2f14cc42a,Bengals,Buffalo State,BUFS
